Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
TACT,TransAct Technologies Incorporated,8.71,$77.77M,1996,Technology,Computer peripheral equipment,https://old.nasdaq.com/symbol/tact,
TRNS,"Transcat, Inc.",31.78,$236.27M,n/a,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/trns,
TGA,TransGlobe Energy Corporation,0.53,$38.45M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/tga,
TBIO,"Translate Bio, Inc.",19.35,$1.44B,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/tbio,
TMDX,"TransMedics Group, Inc.",14.79,$401.71M,2019,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/tmdx,
TA,TravelCenters of America Inc. ,32.79,$472.1M,n/a,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/ta,
TANNI,TravelCenters of America Inc. ,25.66,n/a,n/a,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/tanni,
TANNL,TravelCenters of America Inc. ,25.43,n/a,n/a,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/tannl,
TANNZ,TravelCenters of America Inc. ,25.57,n/a,n/a,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/tannz,
TZOO,Travelzoo,9.98,$112.88M,n/a,Consumer Services,Advertising,https://old.nasdaq.com/symbol/tzoo,
TVTX,"Travere Therapeutics, Inc.",23.77,$1.21B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/tvtx,
TIG,"Trean Insurance Group, Inc.",14.64,$748.82M,2020,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/tig,
TRMT,Tremont Mortgage Trust,4.21,$34.96M,2017,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/trmt,
TRVN,"Trevena, Inc.",2.57,$403.57M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/trvn,
TRVI,"Trevi Therapeutics, Inc.",3.085,$56.7M,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/trvi,
TPCO,Tribune Publishing Company,12.48,$455.93M,n/a,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/tpco,
TCDA,"Tricida, Inc.",7.46,$374.38M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/tcda,
TCBK,TriCo Bancshares,34.55,$1.03B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/tcbk,
TDAC,Trident Acquisitions Corp.,11.49,$137.51M,2018,Finance,Business Services,https://old.nasdaq.com/symbol/tdac,
TDACU,Trident Acquisitions Corp.,13.5,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/tdacu,
TDACW,Trident Acquisitions Corp.,1.55,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/tdacw,
TRIL,Trillium Therapeutics Inc.,19.67,$1.74B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/tril,
TRS,TriMas Corporation,27.68,$1.2B,2007,Capital Goods,Industrial Specialties,https://old.nasdaq.com/symbol/trs,
TRMB,Trimble Inc.,60.45,$15.12B,1990,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/trmb,
TRIB,Trinity Biotech plc,4.42,$92.39M,1992,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/trib,
TCOM,Trip.com Group Limited,34.21,$20.29B,n/a,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/tcom,
TRIP,"TripAdvisor, Inc.",27.53,$3.7B,n/a,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/trip,
TSC,"TriState Capital Holdings, Inc.",15.93,$475.11M,2013,Finance,Major Banks,https://old.nasdaq.com/symbol/tsc,
TSCAP,"TriState Capital Holdings, Inc.",25.8023,$756.67M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/tscap,
TSCBP,"TriState Capital Holdings, Inc.",26.09,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/tscbp,
TRIT,"Triterras, Inc.",11.95,$994.19M,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/trit,
TRITW,"Triterras, Inc.",2.5,n/a,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/tritw,
TBK,"Triumph Bancorp, Inc.",47.58,$1.18B,2014,Finance,Major Banks,https://old.nasdaq.com/symbol/tbk,
TBKCP,"Triumph Bancorp, Inc.",26.7999,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/tbkcp,
TRVG,trivago N.V.,2.42,$854.99M,2016,Technology,EDP Services,https://old.nasdaq.com/symbol/trvg,
TRUE,"TrueCar, Inc.",4.14,$430.95M,2014,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/true,
TRUP,"Trupanion, Inc.",98,$3.84B,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/trup,
TRST,TrustCo Bank Corp NY,6.29,$606.56M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/trst,
TRMK,Trustmark Corporation,25.95,$1.65B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/trmk,
MEDS,"Trxade Group, Inc.",5,$40.33M,n/a,Health Care,Other Pharmaceuticals,https://old.nasdaq.com/symbol/meds,
TSIAU,TS Innovation Acquisitions Corp.,10.1129,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/tsiau,
TSRI,"TSR, Inc.",7,$13.73M,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/tsri,
TTEC,"TTEC Holdings, Inc.",68.6,$3.21B,1996,Technology,Professional Services,https://old.nasdaq.com/symbol/ttec,
TTMI,"TTM Technologies, Inc.",13.33,$1.42B,2000,Technology,Electrical Products,https://old.nasdaq.com/symbol/ttmi,
TC,TuanChe Limited,3.91,$78.65M,2018,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/tc,
TCX,Tucows Inc.,73.16,$775.95M,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/tcx,
TOUR,Tuniu Corporation,3.19,$393.54M,2014,Consumer Services,Transportation Services,https://old.nasdaq.com/symbol/tour,
TMPMU,Turmeric Acquisition Corp.,10.15,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/tmpmu,
TPTX,"Turning Point Therapeutics, Inc.",108,$5.2B,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/tptx,
HEAR,Turtle Beach Corporation,19.11,$290.23M,n/a,Capital Goods,Telecommunications Equipment,https://old.nasdaq.com/symbol/hear,
THCB,Tuscan Holdings Corp.,12.33,$437.55M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/thcb,
THCBU,Tuscan Holdings Corp.,15.3916,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/thcbu,
